,from,to,symbol,quantity,date
0,brofund-ag,brofundholdings,NEOXAG,164.094,2021-01-01
1,brofund-ag,coinmint,NEOXAG,2.92,2021-01-01
2,brofund-ag,eirik,NEOXAG,0.554,2021-01-01
3,brofund-ag,sayee,NEOXAG,0.076,2021-01-01
4,brofund-ag,burlarj,NEOXAG,0.705,2021-01-01
5,brofund-ag,justinparke,NEOXAG,0.728,2021-01-01
6,brofund-ag,bala41288,NEOXAG,2.759,2021-01-01
7,brofund-ag,simplifylife,NEOXAG,1.911,2021-01-01
8,brofund-ag,xawi,NEOXAG,1.188,2021-01-01
9,brofund-ag,olaexcel,NEOXAG,0.064,2021-01-01
10,brofund-ag,simplymike,NEOXAG,0.318,2021-01-01
11,brofund-ag,zaku,NEOXAG,0.637,2021-01-01
12,brofund-ag,jjb777,NEOXAG,21.036,2021-01-01
13,brofund-ag,bearbear613,NEOXAG,6.372,2021-01-01
14,brofund-ag,rehan12,NEOXAG,0.416,2021-01-01
15,brofund-ag,udezee,NEOXAG,0.063,2021-01-01
16,brofund-ag,hetty-rowan,NEOXAG,3.277,2021-01-01
17,brofund-ag,taskmaster4450,NEOXAG,14.16,2021-01-01
18,brofund-ag,goldstreet,NEOXAG,0.026,2021-01-01
19,brofund-ag,ironshield,NEOXAG,0.006,2021-01-01
20,brofund-ag,simplegame,NEOXAG,0.031,2021-01-01
21,brofund-ag,elamental,NEOXAG,0.414,2021-01-01
22,brofund-ag,codingdefined,NEOXAG,0.07,2021-01-01
23,brofund-ag,ecoinstant,NEOXAG,11.801,2021-01-01
24,brofund-ag,khan.dayyanz,NEOXAG,0.828,2021-01-01
25,brofund-ag,roleerob,NEOXAG,12.744,2021-01-01
26,brofund-ag,sidwrites,NEOXAG,0.548,2021-01-01
27,brofund-ag,spinvest,NEOXAG,25.49,2021-01-01
28,brofund-ag,bilpcoinrecords,NEOXAG,0.006,2021-01-01
29,brofund-ag,andy4475,NEOXAG,0.031,2021-01-01
30,brofund-ag,mango-juice,NEOXAG,0.159,2021-01-01
31,brofund-ag,enjar,NEOXAG,0.025,2021-01-01
32,brofund-ag,agr8buzz,NEOXAG,6.372,2021-01-01
33,brofund-ag,dealhunter,NEOXAG,0.02,2021-01-01
34,brofund-ag,dera123,NEOXAG,8.693,2021-01-01
35,brofund-ag,revisesociology,NEOXAG,0.076,2021-01-01
36,brofund-ag,moonunit,NEOXAG,1.029,2021-01-01
37,brofund-ag,uyobong,NEOXAG,0.001,2021-01-01
38,brofund-ag,miketr,NEOXAG,0.981,2021-01-01
39,brofund-ag,flemingfarm,NEOXAG,0.637,2021-01-01
40,brofund-ag,bwar,NEOXAG,3.183,2021-01-01
41,brofund-ag,russia-btc,NEOXAG,0.006,2021-01-01
42,brofund-ag,drrune,NEOXAG,0.267,2021-01-01
43,brofund-ag,cryptoknight12,NEOXAG,1.147,2021-01-01
44,brofund-ag,michealb,NEOXAG,0.382,2021-01-01
45,brofund-ag,investinthefutur,NEOXAG,0.669,2021-01-01
46,brofund-ag,berthold,NEOXAG,0.618,2021-01-01
47,brofund-ag,partitura,NEOXAG,2.23,2021-01-01
48,brofund-ag,steemstreems,NEOXAG,0.006,2021-01-01
49,brofund-ag,joseacabrerav,NEOXAG,0.082,2021-01-01
50,brofund-ag,auelitairene,NEOXAG,0.076,2021-01-01
51,brofund-ag,glastar,NEOXAG,0.318,2021-01-01
52,brofund-ag,elbrava,NEOXAG,0.044,2021-01-01
53,brofund-ag,robmojo,NEOXAG,0.073,2021-01-01
54,brofund-ag,adamdabeast,NEOXAG,0.042,2021-01-01
55,brofund-ag,xabi,NEOXAG,3.263,2021-01-01
56,brofund-ag,bilpcoinbpc,NEOXAG,0.012,2021-01-01
57,brofund-ag,abrockman,NEOXAG,6.372,2021-01-01
58,brofund-ag,tinycurator,NEOXAG,0.191,2021-01-01
59,brofund-ag,shitsignals,NEOXAG,0.922,2021-01-01
60,brofund-ag,mister-meeseeks,NEOXAG,0.127,2021-01-01
61,brofund-ag,talesfrmthecrypt,NEOXAG,0.03,2021-01-01
62,brofund-ag,cmplxty,NEOXAG,0.319,2021-01-01
63,brofund-ag,coyotelation,NEOXAG,0.388,2021-01-01
64,brofund-ag,jongolson,NEOXAG,1.529,2021-01-01
65,brofund-ag,nuthman,NEOXAG,1.274,2021-01-01
66,brofund-ag,dkid14,NEOXAG,1.274,2021-01-01
67,brofund-ag,guurry123,NEOXAG,0.184,2021-01-01
68,brofund-ag,browery,NEOXAG,0.477,2021-01-01
69,brofund-ag,silverstackeruk,NEOXAG,2.326,2021-01-01
70,brofund-ag,pixresteemer,NEOXAG,7.137,2021-01-01
71,brofund-ag,trumpman,NEOXAG,6.375,2021-01-01
72,brofund-ag,invest4free,NEOXAG,0.033,2021-01-01
73,brofund-ag,lotto-de,NEOXAG,0.254,2021-01-01
74,brofund-ag,investyourvote,NEOXAG,0.203,2021-01-01
75,brofund-ag,archon-mining,NEOXAG,1.911,2021-01-01
76,brofund-ag,skylinebuds,NEOXAG,0.008,2021-01-01
77,brofund-ag,l337m45732,NEOXAG,0.385,2021-01-01
78,brofund-ag,cryptoyzzy,NEOXAG,0.019,2021-01-01
79,brofund-ag,enforcer48,NEOXAG,6.882,2021-01-01
80,brofund-ag,ash,NEOXAG,2.168,2021-01-01
81,brofund-ag,linco,NEOXAG,0.127,2021-01-01
