from,to,symbol,quantity,date
dhedge-drips,taskmanager,SIM,45.268,2021-01-01
dhedge-drips,tmps,SIM,0.856,2021-01-01
dhedge-drips,tmholdings,SIM,0.571,2021-01-01
dhedge-drips,ecoinstant,SIM,105.805,2021-01-01
dhedge-drips,archon-mining,SIM,24.937,2021-01-01
dhedge-drips,accelerator,SIM,1.288,2021-01-01
dhedge-drips,mpath,SIM,21.864,2021-01-01
dhedge-drips,rxhector,SIM,0.397,2021-01-01
dhedge-drips,bidnat,SIM,0.290,2021-01-01
dhedge-drips,ecoinstats,SIM,76.162,2021-01-01
dhedge-drips,votebetting,SIM,3.560,2021-01-01
dhedge-drips,steemitcuration,SIM,0.543,2021-01-01
dhedge-drips,steemmedia.org,SIM,2.184,2021-01-01
dhedge-drips,rycharde,SIM,0.686,2021-01-01
dhedge-drips,madstacks,SIM,53.860,2021-01-01
dhedge-drips,bitandi,SIM,6.298,2021-01-01
dhedge-drips,dera123,SIM,35.808,2021-01-01
dhedge-drips,incubot,SIM,0.176,2021-01-01
dhedge-drips,rambutan.art,SIM,0.475,2021-01-01
dhedge-drips,bwar,SIM,0.372,2021-01-01
dhedge-drips,melinda010100,SIM,11.410,2021-01-01
dhedge-drips,eturnerx,SIM,19.393,2021-01-01
dhedge-drips,axeman,SIM,60.445,2021-01-01
dhedge-drips,archon-gov,SIM,2.020,2021-01-01
dhedge-drips,ironshield,SIM,4.790,2021-01-01
dhedge-drips,roleerob,SIM,22.655,2021-01-01
dhedge-drips,simplegame,SIM,1.586,2021-01-01
dhedge-drips,prize.hoard,SIM,52.070,2021-01-01
dhedge-drips,elbrava,SIM,0.741,2021-01-01
dhedge-drips,mapac,SIM,29.772,2021-01-01
dhedge-drips,ash,SIM,13.961,2021-01-01
dhedge-drips,invest4free,SIM,0.623,2021-01-01
dhedge-drips,cwow2,SIM,2.121,2021-01-01
dhedge-drips,shitsignals,SIM,2.128,2021-01-01
dhedge-drips,dkid14,SIM,4.831,2021-01-01
dhedge-drips,lafona,SIM,4.535,2021-01-01
dhedge-drips,dm312,SIM,1.705,2021-01-01
dhedge-drips,pixiepost,SIM,0.340,2021-01-01
dhedge-drips,ph1102,SIM,0.163,2021-01-01
dhedge-drips,eirik,SIM,3.423,2021-01-01
dhedge-drips,hatoto,SIM,0.632,2021-01-01
dhedge-drips,jznsamuel,SIM,4.870,2021-01-01
dhedge-drips,romeskie,SIM,0.453,2021-01-01
dhedge-drips,quintaesencia,SIM,3.581,2021-01-01
dhedge-drips,imfarhad,SIM,0.277,2021-01-01
dhedge-drips,enilemor,SIM,1.223,2021-01-01
dhedge-drips,thatsweeneyguy,SIM,1.296,2021-01-01
dhedge-drips,brofundholdings,SIM,108.831,2021-01-01
dhedge-drips,automaton,SIM,0.733,2021-01-01
dhedge-drips,monsterbuster,SIM,2.390,2021-01-01
dhedge-drips,taskmaster4450,SIM,0.171,2021-01-01
dhedge-drips,bashadow,SIM,0.362,2021-01-01
dhedge-drips,bpcvoter,SIM,0.185,2021-01-01
dhedge-drips,adhammer,SIM,14.980,2021-01-01
dhedge-drips,dhedge,SIM,2.737,2021-01-01
dhedge-drips,tanzofett,SIM,3.560,2021-01-01
dhedge-drips,brofund-sim,SIM,0.056,2021-01-01
dhedge-drips,tpkidkai,SIM,2.129,2021-01-01
dhedge-drips,mawit07,SIM,0.053,2021-01-01
dhedge-drips,richardcrill,SIM,0.444,2021-01-01
dhedge-drips,okean123,SIM,1.973,2021-01-01
dhedge-drips,leoneil,SIM,1.985,2021-01-01
dhedge-drips,jacoalberts,SIM,0.144,2021-01-01
dhedge-drips,bilpcoinbpc,SIM,0.539,2021-01-01
dhedge-drips,juanvegetarian,SIM,0.707,2021-01-01
dhedge-drips,jelly13,SIM,2.878,2021-01-01
dhedge-drips,damla,SIM,0.730,2021-01-01
dhedge-drips,mehmetfix,SIM,0.090,2021-01-01
dhedge-drips,jglake,SIM,0.122,2021-01-01
dhedge-drips,achim03,SIM,1.354,2021-01-01
dhedge-drips,photophile,SIM,0.117,2021-01-01
dhedge-drips,sozdemir,SIM,2.847,2021-01-01
dhedge-drips,honeysaver,SIM,1.967,2021-01-01
dhedge-drips,khan.dayyanz,SIM,0.723,2021-01-01
dhedge-drips,bilpcoin,SIM,0.906,2021-01-01
dhedge-drips,andy4475,SIM,2.907,2021-01-01
dhedge-drips,chronopolis,SIM,3.104,2021-01-01
dhedge-drips,snackaholic,SIM,0.272,2021-01-01
dhedge-drips,cmplxty,SIM,0.119,2021-01-01
dhedge-drips,bilpcoinbot,SIM,0.044,2021-01-01
dhedge-drips,denver-bob,SIM,48.628,2021-01-01
dhedge-drips,doze,SIM,4.527,2021-01-01
dhedge-drips,braaiboy,SIM,0.226,2021-01-01
dhedge-drips,taskmanager,ARCHON,0.61077108,2021-01-01
dhedge-drips,tmps,ARCHON,0.01156080,2021-01-01
dhedge-drips,tmholdings,ARCHON,0.00771109,2021-01-01
dhedge-drips,ecoinstant,ARCHON,1.42752838,2021-01-01
dhedge-drips,archon-mining,ARCHON,0.33646346,2021-01-01
dhedge-drips,accelerator,ARCHON,0.01739148,2021-01-01
dhedge-drips,mpath,ARCHON,0.29499583,2021-01-01
dhedge-drips,rxhector,ARCHON,0.00536253,2021-01-01
dhedge-drips,bidnat,ARCHON,0.00392538,2021-01-01
dhedge-drips,ecoinstats,ARCHON,1.02757542,2021-01-01
dhedge-drips,votebetting,ARCHON,0.04804950,2021-01-01
dhedge-drips,steemitcuration,ARCHON,0.00733254,2021-01-01
dhedge-drips,steemmedia.org,ARCHON,0.02947214,2021-01-01
dhedge-drips,rycharde,ARCHON,0.00924971,2021-01-01
dhedge-drips,madstacks,ARCHON,0.72669581,2021-01-01
dhedge-drips,bitandi,ARCHON,0.08497188,2021-01-01
dhedge-drips,dera123,ARCHON,0.48313838,2021-01-01
dhedge-drips,incubot,ARCHON,0.00238548,2021-01-01
dhedge-drips,rambutan.art,ARCHON,0.00641837,2021-01-01
dhedge-drips,bwar,ARCHON,0.00503797,2021-01-01
dhedge-drips,melinda010100,ARCHON,0.15394319,2021-01-01
dhedge-drips,eturnerx,ARCHON,0.26165818,2021-01-01
dhedge-drips,axeman,ARCHON,0.81554400,2021-01-01
dhedge-drips,archon-gov,ARCHON,0.02726678,2021-01-01
dhedge-drips,ironshield,ARCHON,0.06462627,2021-01-01
dhedge-drips,roleerob,ARCHON,0.30567126,2021-01-01
dhedge-drips,simplegame,ARCHON,0.02141237,2021-01-01
dhedge-drips,prize.hoard,ARCHON,0.70252979,2021-01-01
dhedge-drips,elbrava,ARCHON,0.01001119,2021-01-01
dhedge-drips,mapac,ARCHON,0.40169791,2021-01-01
dhedge-drips,ash,ARCHON,0.18836316,2021-01-01
dhedge-drips,invest4free,ARCHON,0.00842422,2021-01-01
dhedge-drips,cwow2,ARCHON,0.02863444,2021-01-01
dhedge-drips,shitsignals,ARCHON,0.02871510,2021-01-01
dhedge-drips,dkid14,ARCHON,0.06518596,2021-01-01
dhedge-drips,lafona,ARCHON,0.06118139,2021-01-01
dhedge-drips,dm312,ARCHON,0.02300235,2021-01-01
dhedge-drips,pixiepost,ARCHON,0.00458397,2021-01-01
dhedge-drips,ph1102,ARCHON,0.00219252,2021-01-01
dhedge-drips,eirik,ARCHON,0.04618465,2021-01-01
dhedge-drips,hatoto,ARCHON,0.00852465,2021-01-01
dhedge-drips,jznsamuel,ARCHON,0.06570881,2021-01-01
dhedge-drips,romeskie,ARCHON,0.00611814,2021-01-01
dhedge-drips,quintaesencia,ARCHON,0.04832362,2021-01-01
dhedge-drips,imfarhad,ARCHON,0.00373084,2021-01-01
dhedge-drips,enilemor,ARCHON,0.01651897,2021-01-01
dhedge-drips,thatsweeneyguy,ARCHON,0.01748929,2021-01-01
dhedge-drips,brofundholdings,ARCHON,1.46836013,2021-01-01
dhedge-drips,automaton,ARCHON,0.00989653,2021-01-01
