,from,to,symbol,quantity,date
0,he-indexrewards,he-index,NEOXAG,0.028,2021-01-01
1,he-indexrewards,he-indexadmin,NEOXAG,0.014,2021-01-01
2,he-indexrewards,blainjones,NEOXAG,0.006,2021-01-01
3,he-indexrewards,jongolson,NEOXAG,0.006,2021-01-01
4,he-indexrewards,achim03,NEOXAG,0.003,2021-01-01
5,he-indexrewards,blainjones,NEOXAG,0.021,2021-01-01
6,he-indexrewards,jongolson,NEOXAG,0.021,2021-01-01
7,he-indexrewards,jk6276,NEOXAG,0.019,2021-01-01
8,he-indexrewards,mcoinz79,NEOXAG,0.016,2021-01-01
9,he-indexrewards,torrey.blog,NEOXAG,0.011,2021-01-01
10,he-indexrewards,chmoen,NEOXAG,0.011,2021-01-01
11,he-indexrewards,taskmaster4450,NEOXAG,0.010,2021-01-01
12,he-indexrewards,elianaicgomes,NEOXAG,0.007,2021-01-01
13,he-indexrewards,tandara,NEOXAG,0.006,2021-01-01
14,he-indexrewards,potpourry,NEOXAG,0.005,2021-01-01
15,he-indexrewards,fbslo,NEOXAG,0.005,2021-01-01
16,he-indexrewards,myvest,NEOXAG,0.004,2021-01-01
17,he-indexrewards,shmoogleosukami,NEOXAG,0.004,2021-01-01
18,he-indexrewards,silverstackeruk,NEOXAG,0.003,2021-01-01
19,he-indexrewards,ericburgoyne,NEOXAG,0.003,2021-01-01
20,he-indexrewards,blue.rabbit,NEOXAG,0.003,2021-01-01
21,he-indexrewards,dera123,NEOXAG,0.003,2021-01-01
22,he-indexrewards,hirohurl,NEOXAG,0.003,2021-01-01
23,he-indexrewards,brofundholdings,NEOXAG,0.003,2021-01-01
24,he-indexrewards,marfonso,NEOXAG,0.002,2021-01-01
25,he-indexrewards,deepresearch,NEOXAG,0.002,2021-01-01
26,he-indexrewards,russellstockley,NEOXAG,0.002,2021-01-01
27,he-indexrewards,steemychicken1,NEOXAG,0.002,2021-01-01
28,he-indexrewards,srmallara,NEOXAG,0.002,2021-01-01
29,he-indexrewards,curtawakening,NEOXAG,0.002,2021-01-01
30,he-indexrewards,niallon11,NEOXAG,0.002,2021-01-01
31,he-indexrewards,shanibeer,NEOXAG,0.002,2021-01-01
32,he-indexrewards,dfacademy,NEOXAG,0.001,2021-01-01
